ymd,AqiLevel,bWendu,fengli,yWendu,month,day,pollution,N,S,E,W,wind,weather1,weather2,rain,snow,wet,good_weather
2017-12-04,1,4,2,-6,12,4,0,1,0,0,1,5,1,1,0,0,0,1
2017-12-05,1,7,1,-3,12,5,0,1,0,0,1,5,7,7,0,0,0,1
2017-12-06,1,8,2,-4,12,6,0,1,0,0,1,5,1,1,0,0,0,1
2017-12-07,1,5,2,-5,12,7,0,1,0,0,0,3,1,7,0,0,0,1
2017-12-08,1,7,1,-4,12,8,0,0,1,0,1,6,7,7,0,0,0,1
2017-12-09,2,6,1,-4,12,9,0,0,1,0,1,6,1,7,0,0,0,1
2017-12-10,1,3,3,-7,12,10,0,1,0,0,1,5,7,1,0,0,0,1
2017-12-11,1,0,2,-9,12,11,0,1,0,1,0,0,1,7,0,0,0,1
2017-12-12,1,-1,1,-8,12,12,0,1,0,0,0,3,1,1,0,0,0,1
2017-12-13,2,0,1,-5,12,13,0,0,1,1,0,1,7,1,0,0,0,1
2017-12-14,2,0,1,-4,12,14,0,0,1,0,0,4,9,1,0,0,0,1
2017-12-15,2,3,1,-7,12,15,0,1,0,0,1,5,1,7,0,0,0,1
2017-12-16,1,-1,2,-8,12,16,0,1,0,0,1,5,7,7,0,0,0,1
2017-12-17,1,5,1,-5,12,17,0,0,1,0,1,6,7,7,0,0,0,1
2017-12-18,1,6,2,-6,12,18,0,1,0,0,1,5,7,7,0,0,0,1
2017-12-19,2,4,1,-4,12,19,0,0,1,0,0,4,1,9,0,0,0,1
2017-12-20,1,6,1,-6,12,20,0,1,0,0,1,5,1,7,0,0,0,1
2017-12-21,2,8,1,-6,12,21,0,0,1,1,0,1,7,7,0,0,0,1
2017-12-22,2,10,1,-6,12,22,0,1,0,0,0,3,1,1,0,0,0,1
2017-12-23,1,7,1,-3,12,23,0,0,1,0,0,4,1,1,0,0,0,1
2017-12-24,1,6,2,-6,12,24,0,1,0,0,1,5,7,7,0,0,0,1
2017-12-25,1,5,1,-4,12,25,0,0,1,0,0,4,7,7,0,0,0,1
2017-12-26,1,3,1,-7,12,26,0,0,1,0,0,4,7,1,0,0,0,1
2017-12-27,3,4,1,-5,12,27,1,1,0,0,1,5,1,7,0,0,0,1
2017-12-28,3,5,1,-4,12,28,1,1,0,0,1,5,7,7,0,0,0,1
2017-12-29,5,4,1,-3,12,29,1,0,1,1,0,1,1,1,0,0,0,1
2017-12-30,4,6,2,-6,12,30,1,1,0,0,1,5,7,7,0,0,0,1
2017-12-31,2,4,1,-7,12,31,0,0,1,0,0,4,7,7,0,0,0,1
2017-09-22,2,29,2,14,9,22,0,1,0,0,1,5,7,7,0,0,0,1
